number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0018,Buwei,"l,w,w,w,w,l,l,l",8,12,24,42,0,0,0.500,0.583,"Xunus Mk XII,Xocury,Foter,Qustea,Ienov,Rugawa,Honov,Guthea"
#0122,Wanope,"w,w,w,w,w,l,w,w,l",9,21,27,57,0,0,0.778,0.704,"Gohiri,Tenia,Guthea,Xotune v29.73,Ianov,Fanov v33.40,Zostea,Negantu,Xetune"
#0026,Jolea,"l,l,l,w,l,w,w,l",8,9,24,21,0,0,0.375,0.330,"Herilia v14.82,Getis,Iapra,Pecury,Hunus v28.9,Foter,Potera,Jenides"
#0053,Zostea,"w,l,w,w,w,w,l,w,l",9,18,27,45,0,0,0.667,0.556,"Getis,Decarro,Bowei,Lanus,Secarro,Herilia v14.82,Wanope,Fupra,Fanov v33.40"
#0047,Futis,"l,w,l,l,w,w,l,l",8,9,24,30,0,0,0.375,0.417,"Fanov v33.40,Qewei Mk XCV,Matania,Potera,Dovis v46.22,Lacarro,Pucury v46.28,Halea v22.63"
#0044,Wunus,"l,w,l,w,l,w,l,w",8,12,24,39,0,0,0.500,0.542,"Ferilia,Lacarro,Haruta Mk XLIX,Dovis v46.22,Wuturn v18.96,Qustea,Getis,Vetania"
#0012,Yutera Mk LXXXIV,"l,l,l,l,w,w,l,w",8,9,24,30,0,0,0.375,0.417,"Matania,Relia v12.42,Qewei Mk XCV,Henerth Mk VIII,Iuzuno,Dovis v46.22,Cotania,Wuwei v12.30"
#0015,Honov,"w,l,w,w,l,w,w,l",8,15,24,36,0,0,0.625,0.500,"Selia,Doruta,Cuvis,Haruta Mk XLIX,Monus,Bowei,Buwei,Sulara v35.90"
#0138,Bowei,"l,w,l,w,w,l,l,w",8,12,24,39,0,0,0.500,0.542,"Monus,Xulia,Zostea,Lacarro,Later,Honov,Vucarro v33.11,Wuter Mk XVII"
#0065,Huthea,"l,w,l,l,w,w,l,w",8,12,24,30,0,0,0.500,0.417,"Jatania,Zuter,Iavis v40.72,Jenides,Wuwei v12.30,Peter,Vathea,Bonope"
#0074,Petania Mk LXXXVII,"w,w,w,w,l,w,w,w,w,l",10,24,30,60,0,0,0.800,0.667,"Wuter Mk XVII,Ienov,Tuvis,Waria v41.6,Sulara v35.90,Funerth,Tewei v11.69,Felea,Iavis v40.72,Xunus Mk XII"
#0029,Nehiri,"w,l,l,l,l,w,w,l",8,9,24,18,0,0,0.375,0.330,"Dovis v46.22,Yutania,Sophus,Pucarro,Cotania,Xaturn,Selia,Xulia"
#0049,Ronus v28.11,"l,w,w,l,w,l,l,w",8,12,24,30,0,0,0.500,0.417,"Doyama Mk VII,Ferilia,Qater,Qaturn,Dutune,Fupra,Yutania,Wuturn v18.96"
#0123,Fatera,"l,w,l,w,w,l,w,w",8,15,24,42,0,0,0.625,0.583,"Decarro,Iuzuno,Fuwei,Toliv v6.73,Humia,Matania,Vetania,Tetune"
#0063,Logawa,"w,l,w,w,l,w,w,l",8,15,24,39,0,0,0.625,0.542,"Megantu,Fanov v33.40,Qalea,Juzuno v16.41,Wonus,Vathea,Yocarro Mk XLVII,Iavis v40.72"
#0111,Herilia v14.82,"w,l,w,w,w,l,l,w",8,15,24,39,0,0,0.625,0.542,"Jolea,Secarro,Jenides,Relia v12.42,Ioliv,Zostea,Ianov,Pucury v46.28"
