number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0029,Nehiri,"w,l,w,l,l,l,l,l",8,6,24,21,0,0,0.330,0.330,"Pecury,Sulara v35.90,Bonope,Cethea,Huthea,Monus,Cotania,Later"
#0137,Juzuno v16.41,"l,w,w,l,w,w,l,w",8,15,24,45,0,0,0.625,0.625,"Kunope,Gohiri,Humia,Tuvis,Turilia v28.53,Iutov,Ronus v28.11,Nalea v36.5"
#0101,Fabos,"w,l,l,l,l,l,l,w",8,6,24,18,0,0,0.330,0.330,"Potera,Ronope Mk LXVIII,Jatania,Wunus,Gohiri,Konus Mk LVIII,Henerth Mk VIII,Pecury"
#0073,Vophus,"l,l,l,l,l,l,w",8,6,23,18,0,1,0.330,0.330,"Wustea Mk LXXXVI,Wuter Mk XVII,Huthea,Soter v3.44,Relia v12.42,Iuzuno,Futer"
#0112,Matania,"w,w,w,l,w,l,l,l",8,12,24,33,0,0,0.500,0.458,"Jenides,Xunus Mk XII,Manope Mk XXXVII,Wustea Mk LXXXVI,Wonus,Pucarro,Doyama Mk VII,Dutune"
#0066,Ferilia,"l,w,l,w,l,l,w,w",8,12,24,30,0,0,0.500,0.417,"Bowei,Nutera,Buwei,Suria Mk XCVII,Mustea Mk XIII,Fatera,Qunus,Wanus v30.81"
#0013,Tewei v11.69,"w,w,w,l,w,w,l,w,l",9,18,27,48,0,0,0.667,0.593,"Ienov,Herilia v14.82,Nuthea,Ianov,Zostea,Haruta Mk XLIX,Sulara v35.90,Petania Mk LXXXVII,Yenus"
#0116,Soria,"w,w,l,l,l,w,l,w",8,12,24,33,0,0,0.500,0.458,"Jatania,Wehines Mk L,Danov,Nanov,Nuthea,Rozuno,Totera,Huthea"
#0089,Lanus,"w,w,l,l,w,w,l,l",8,12,24,33,0,0,0.500,0.458,"Wuturn v18.96,Wunus,Felea,Logawa,Xotune v29.73,Yolia v39.2,Haruta Mk XLIX,Nunerth"
#0028,Senus Mk XLIX,"w,l,l,l,w,w,w,w",8,15,24,48,0,0,0.625,0.667,"Jeliv,Decarro,Muhiri v31.23,Zoclite,Dovis v46.22,Vetania,Xotune v29.73,Qaturn"
#0103,Xotune v29.73,"l,w,l,w,l,w,l,w",8,12,24,42,0,0,0.500,0.583,"Felea,Iuzuno,Qater,Soter v3.44,Lanus,Nutera,Senus Mk XLIX,Dayama"
#0122,Wanope,"w,w,w,w,w,w,w,w,l",9,24,27,72,0,0,0.889,0.889,"Jolea,Cotania,Pucarro,Tetune,Futurn Mk LXXIX,Nanov,Koturn,Ianov,Felea"
#0135,Durus v12.47,"w,l,l,w,w,l,w,w",8,15,24,42,0,0,0.625,0.583,"Dayama,Fuwei,Herilia v14.82,Zuter,Selea,Logawa,Quwei,Tubos"
#0038,Selia,"l,l,l,l,w,l,w,w",8,9,24,27,0,0,0.375,0.375,"Manope Mk XXXVII,Vucarro v33.11,Ronus v28.11,Futis,Xaturn,Iunus v35.24,Futer,Nutera"
#0069,Bonope,"w,l,l,l,w,l,w,l",8,9,24,24,0,0,0.375,0.333,"Zuter,Huyama,Nehiri,Fanov v33.40,Suria Mk XCVII,Nonia,Lacarro,Buwei"
#0119,Xunus Mk XII,"w,l,w,w,w,w,w,l",8,18,24,48,0,0,0.750,0.667,"Xaturn,Matania,Fanov v33.40,Doyama Mk VII,Totera,Xetune,Danov,Huyama"
#0100,Turilia v28.53,"l,l,w,w,l,w,l,w",8,12,24,39,0,0,0.500,0.542,"Wonus,Totera,Getis,Qewei Mk XCV,Juzuno v16.41,Ronope Mk LXVIII,Qaturn,Jolea"
#0148,Juter Mk LXVII,"l,w,l,w,w,w,l,w",8,15,24,48,0,0,0.625,0.667,"Fuwei,Getis,Mustea Mk XIII,Henerth Mk VIII,Monus,Totera,Negantu,Iapra"
#0009,Relia v12.42,"w,l,l,l,l,w,l,w",8,9,24,30,0,0,0.375,0.417,"Sugantu,Tetune,Iavis v40.72,Tubos,Cotania,Vophus,Vetania,Henerth Mk VIII"
#0090,Gohiri,"l,l,l,w,w,w,w,w",8,15,24,48,0,0,0.625,0.667,"Zostea,Juzuno v16.41,Nostea,Pecury,Fabos,Foter,Buwei,Tetune"
