number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0014,Qewei Mk XCV,"l,l,l,w,w,w,l,l",8,9,24,30,0,0,0.375,0.417,"Lanus,Jolea,Selia,Quphus,Xulia,Xocury,Toliv v6.73,Pucarro"
#0025,Iapra,"w,l,w,l,w,l,w,l",8,12,24,36,0,0,0.500,0.500,"Cethea,Keclite,Bonope,Durus v12.47,Buwei,Vucarro v33.11,Yocarro Mk XLVII,Herilia v14.82"
#0071,Secarro,"w,l,w,l,w,w,w,l",8,15,24,45,0,0,0.625,0.625,"Sugantu,Iavis v40.72,Getis,Tetune,Jolea,Fuwei,Lanus,Kunope"
#0106,Jatania,"l,w,w,w,w,l,l,w",8,15,24,48,0,0,0.625,0.667,"Yenus,Wehines Mk L,Cotania,Ferilia,Ronope Mk LXVIII,Felea,Decarro,Qalea"
#0109,Ioliv,"l,w,l,w,l,w,l,l",8,9,24,33,0,0,0.375,0.458,"Herilia v14.82,Pucarro,Wahiri Mk LXXIV,Xulia,Zuter,Nutera,Wuturn v18.96,Yocarro Mk XLVII"
#0113,Kunope,"w,l,w,w,w,l,w,w",8,18,24,48,0,0,0.750,0.667,"Henerth Mk VIII,Fupra,Qewei,Vathea,Zostea,Totera,Gohiri,Secarro"
#0079,Dutune,"w,l,w,l,w,w,l,l",8,12,24,39,0,0,0.500,0.542,"Halea v22.63,Huyama,Yutera Mk LXXXIV,Vucarro v33.11,Konus Mk LVIII,Ronus v28.11,Sulara v35.90,Honov"
#0148,Juter Mk LXVII,"w,w,w,l,w,l,w,l",8,15,24,39,0,0,0.625,0.542,"Relia v12.42,Wahiri Mk LXXIV,Haruta Mk XLIX,Xetune,Yolia v39.2,Monus,Cuvis,Negantu"
#0057,Ienov,"w,l,w,w,l,l,l,w",8,12,24,42,0,0,0.500,0.583,"Manope Mk XXXVII,Muhiri v31.23,Rozuno,Nostea,Senus Mk XLIX,Funerth,Hunus v28.9,Lacarro"
#0118,Pucarro,"l,l,w,l,w,w,l,w",8,12,24,42,0,0,0.500,0.583,"Waria v41.6,Ioliv,Futer,Qustea,Sophus,Iunus v35.24,Juzuno v16.41,Qewei Mk XCV"
#0037,Decarro,"w,w,w,w,l,l,w,l",8,15,24,42,0,0,0.625,0.583,"Later,Zostea,Wuter Mk XVII,Tenia,Wanope,Wustea Mk LXXXVI,Jatania,Fupra"
#0121,Sugantu,"l,l,w,w,l,l,l,l",8,6,24,21,0,0,0.330,0.330,"Secarro,Qustea,Xaturn,Rozuno,Vetania,Yutania,Getis,Tepra"
