number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0074,Petania Mk LXXXVII,"w,w,l,l,w,w,w",7,15,21,33,0,0,0.714,0.524,"Qewei,Nonia,Sulara v35.90,Doyama Mk VII,Logawa,Monus,Buwei"
#0060,Tonides,"w,l,l,w,l,l,w",7,9,21,27,0,0,0.429,0.429,"Wuter Mk XVII,Zostea,Selea,Relia v12.42,Hunus v28.9,Iuzuno,Yutera Mk LXXXIV"
#0025,Iapra,"l,l,w,l,w,w,l",7,9,21,27,0,0,0.429,0.429,"Gaphus,Bonope,Selia,Julea,Dovis v46.22,Toliv v6.73,Ioliv"
#0105,Nalea v36.5,"w,w,w,l,l,l,w",7,12,21,30,0,0,0.571,0.476,"Relia v12.42,Selea,Xotune v29.73,Wahiri Mk LXXIV,Tewei v11.69,Ronus v28.11,Yestea"
#0056,Wahiri Mk LXXIV,"w,w,w,w,w,l,l,l",8,15,24,42,0,0,0.625,0.583,"Yutera Mk LXXXIV,Wunus,Tenia,Nalea v36.5,Funerth,Huyama,Ianov,Iavis v40.72"
#0049,Ronus v28.11,"w,w,l,w,l,w,w,w,l",9,18,27,48,0,0,0.667,0.593,"Lanus,Ferilia,Funerth,Xotune v29.73,Iavis v40.72,Nalea v36.5,Decarro,Fupra,Wustea Mk LXXXVI"
#0033,Lacarro,"l,l,l,l,w,l,l",7,3,21,15,0,0,0.330,0.330,"Jatania,Dutune,Futis,Selia,Xaturn,Potera,Henerth Mk VIII"
#0061,Wuturn v18.96,"l,l,w,w,w,l,w",7,12,21,36,0,0,0.571,0.571,"Honov,Qewei,Megantu,Qewei Mk XCV,Cuvis,Ienov,Yocarro Mk XLVII"
#0089,Lanus,"l,w,w,w,l,w,w",7,15,21,36,0,0,0.714,0.571,"Ronus v28.11,Humia,Wuter Mk XVII,Cuvis,Yenus,Tepra,Ferilia"
#0034,Pucury v46.28,"l,l,l,l,w,w,w",7,9,21,30,0,0,0.429,0.476,"Funerth,Qaturn,Foter,Megantu,Bonope,Xulia,Fucury"
#0010,Xocury,"l,l,l,l,w,l",7,6,20,15,0,1,0.330,0.330,"Secarro,Buwei,Wehines Mk L,Purilia Mk XXXV,Peturn,Halea v22.63"
#0030,Yenus,"l,w,w,w,w,l,w",7,15,21,48,0,0,0.714,0.762,"Monus,Foter,Vucarro v33.11,Qaturn,Lanus,Keclite,Herilia v14.82"
#0001,Gaphus,"w,l,w,w,w,w,l",7,15,21,42,0,0,0.714,0.667,"Iapra,Funerth,Bonope,Jenides,Qustea,Haruta Mk XLIX,Keclite"
#0103,Xotune v29.73,"w,w,l,l,w,l,w",7,12,21,39,0,0,0.571,0.619,"Qaturn,Qater,Nalea v36.5,Ronus v28.11,Rozuno,Gohiri,Vophus"
#0097,Foter,"l,l,w,l,w,w,l",7,9,21,33,0,0,0.429,0.524,"Tepra,Yenus,Pucury v46.28,Qewei,Selia,Purilia Mk XXXV,Honov"
#0090,Gohiri,"w,w,l,l,w,w,l",7,12,21,33,0,0,0.571,0.524,"Peturn,Jolea,Senus Mk XLIX,Decarro,Yestea,Xotune v29.73,Qaturn"
#0057,Ienov,"l,w,l,w,w,w,l",7,12,21,42,0,0,0.571,0.667,"Decarro,Sophus,Hunus v28.9,Bonope,Pecury,Wuturn v18.96,Nanov"
#0020,Humia,"l,l,l,w,w,w,l",7,9,21,30,0,0,0.429,0.476,"Cuvis,Lanus,Julea,Xulia,Qewei Mk XCV,Vucarro v33.11,Selea"
#0111,Herilia v14.82,"w,l,w,l,w,w,l",7,12,21,30,0,0,0.571,0.476,"Fucury,Tewei v11.69,Nutera,Qalea,Julea,Vathea,Yenus"
#0048,Yayama,"w,l,w,w,l,w,l",7,12,21,39,0,0,0.571,0.619,"Tubos,Doyama Mk VII,Halea v22.63,Selea,Zostea,Guthea,Sulara v35.90"
#0029,Nehiri,"l,w,l,l,w,l,l",7,6,21,21,0,0,0.330,0.333,"Getis,Cotania,Qustea,Futis,Nutera,Cuvis,Wunus"
#0054,Halea v22.63,"l,w,l,w,l,l,w",7,9,21,27,0,0,0.429,0.429,"Haruta Mk XLIX,Nostea,Yayama,Purilia Mk XXXV,Dutune,Tubos,Xocury"
#0084,Iuzuno,"l,l,w,l,w,w,l",7,9,21,33,0,0,0.429,0.524,"Manope Mk XXXVII,Wuwei v12.30,Futer,Wunus,Potera,Tonides,Tenia"
#0083,Hunus v28.9,"l,w,w,l,w,w,w",7,15,21,39,0,0,0.714,0.619,"Fupra,Purilia Mk XXXV,Ienov,Ianov,Tonides,Tenia,Qater"
