number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0001,Gaphus,"l,w,w,l,w,w,l",7,12,21,27,0,0,0.571,0.429,"Yenus,Fucury,Iuzuno,Keclite,Humia,Dayama,Monus"
#0027,Yutania,"w,l,l,w,w,l,w",7,12,21,36,0,0,0.571,0.571,"Relia v12.42,Yayama,Peturn,Manope Mk XXXVII,Qewei Mk XCV,Selea,Nanov"
#0050,Dovis v46.22,"l,l,l,w,l,l,w",7,6,21,15,0,0,0.330,0.330,"Soria,Jenides,Potera,Xulia,Qunus,Xocury,Pecury"
#0119,Xunus Mk XII,"w,w,l,w,l,w,w",7,15,21,42,0,0,0.714,0.667,"Fuwei,Lacarro,Rugawa,Herilia v14.82,Senus Mk XLIX,Yocarro Mk XLVII,Soria"
#0015,Honov,"l,w,w,w,l,l,w",7,12,21,33,0,0,0.571,0.524,"Ianov,Nalea v36.5,Qater,Cethea,Ioliv,Jatania,Secarro"
#0034,Pucury v46.28,"l,w,w,l,l,l,l",7,6,21,24,0,0,0.330,0.381,"Lethea Mk XCVII,Henerth Mk VIII,Lacarro,Ioliv,Dayama,Waria v41.6,Qewei"
#0060,Tonides,"w,l,l,w,l,l,l",7,6,21,21,0,0,0.330,0.333,"Wuwei v12.30,Soria,Toliv v6.73,Lacarro,Julea,Tepra,Cuvis"
#0049,Ronus v28.11,"w,l,w,w,w,w,l",7,15,21,48,0,0,0.714,0.762,"Xulia,Pucarro,Gohiri,Tubos,Nonia,Ioliv,Petania Mk LXXXVII"
#0039,Cuvis,"l,w,l,w,l,l,w",7,9,21,27,0,0,0.429,0.429,"Matania,Pecury,Zostea,Halea v22.63,Getis,Ienov,Tonides"
#0006,Sophus,"l,w,l,l,w,l,w",7,9,21,33,0,0,0.429,0.524,"Turilia v28.53,Wehines Mk L,Tubos,Humia,Fabos,Later,Megantu"
#0014,Qewei Mk XCV,"l,w,w,l,l,l,w",7,9,21,27,0,0,0.429,0.429,"Negantu,Futer,Bonope,Jolea,Yutania,Vucarro v33.11,Cotania"
#0115,Lethea Mk XCVII,"w,l,l,l,w,w,w",7,12,21,36,0,0,0.571,0.571,"Pucury v46.28,Wanope,Nonia,Yestea,Yutera Mk LXXXIV,Cotania,Humia"
#0037,Decarro,"l,w,w,w,w,w,l",7,15,21,42,0,0,0.714,0.667,"Selea,Relia v12.42,Fuwei,Matania,Dutune,Toliv v6.73,Wanope"
#0096,Funerth,"l,w,w,l,w,w,l",7,12,21,36,0,0,0.571,0.571,"Wonus,Huthea,Secarro,Fupra,Waria v41.6,Getis,Sulara v35.90"
#0103,Xotune v29.73,"w,w,l,w,w,w,l,l",8,15,24,42,0,0,0.625,0.583,"Jenides,Ioliv,Petania Mk LXXXVII,Zuter,Vathea,Monus,Yenus,Haruta Mk XLIX"
#0087,Doyama Mk VII,"w,w,w,l,l,w,w",7,15,21,45,0,0,0.714,0.714,"Megantu,Suria Mk XCVII,Matania,Wanope,Hunus v28.9,Nanov,Nonia"
#0004,Pecury,"l,l,l,l,l,w,l",7,3,21,15,0,0,0.330,0.330,"Fabos,Cuvis,Yutera Mk LXXXIV,Selia,Wuwei v12.30,Xaturn,Dovis v46.22"
#0122,Wanope,"w,w,w,w,w,l,w,l",8,18,24,57,0,0,0.750,0.792,"Futer,Lethea Mk XCVII,Negantu,Doyama Mk VII,Haruta Mk XLIX,Huyama,Decarro,Huyama"
#0090,Gohiri,"w,l,l,l,w,w,w",7,12,21,36,0,0,0.571,0.571,"Manope Mk XXXVII,Logawa,Ronus v28.11,Wehines Mk L,Nalea v36.5,Qunus,Turilia v28.53"
#0042,Potera,"l,l,w,w,l,l,w",7,9,21,21,0,0,0.429,0.333,"Purilia Mk XXXV,Tubos,Dovis v46.22,Henerth Mk VIII,Qater,Danov,Xocury"
#0043,Dayama,"l,w,w,l,w,l,w",7,12,21,36,0,0,0.571,0.571,"Sulara v35.90,Nehiri,Wunus,Yocarro Mk XLVII,Pucury v46.28,Gaphus,Foter"
#0071,Secarro,"l,w,l,w,w,l,l",7,9,21,33,0,0,0.429,0.524,"Tewei v11.69,Xulia,Funerth,Wunus,Ienov,Logawa,Honov"
#0079,Dutune,"w,w,w,l,l,w,l",7,12,21,27,0,0,0.571,0.429,"Futis,Wahiri Mk LXXIV,Soria,Wustea Mk LXXXVI,Decarro,Turilia v28.53,Wonus"
#0085,Fupra,"w,l,w,w,w,l,l",7,12,21,42,0,0,0.571,0.667,"Nanov,Herilia v14.82,Halea v22.63,Funerth,Ianov,Qalea,Selea"
#0051,Xaturn,"l,l,l,l,l,l,l",7,0,21,3,0,0,0.330,0.330,"Iuzuno,Zuter,Nehiri,Buwei,Megantu,Pecury,Futer"
#0032,Later,"l,l,w,l,w,w,l",7,9,21,24,0,0,0.429,0.381,"Guthea,Cethea,Buwei,Ferilia,Nutera,Sophus,Waria v41.6"
#0078,Zuter,"l,w,w,l,l,l,w",7,9,21,24,0,0,0.429,0.381,"Zoclite,Xaturn,Foter,Xotune v29.73,Tenia,Iapra,Yestea"
#0056,Wahiri Mk LXXIV,"w,l,w,w,w,w,w,l",8,18,24,51,0,0,0.750,0.708,"Keclite,Dutune,Purilia Mk XXXV,Kunope,Toliv v6.73,Senus Mk XLIX,Qalea,Qalea"
